SiteID;SiteName;Elevation;Longitude;Latitude;SiteCode;FullSiteCode
100;Accettura;799;16.1486295986314;40.5006772266109;100;OD:100
101;Acerenza;833;15.9326469897573;40.8006734953287;101;OD:101
102;Acquafredda;86;15.6668096648907;40.0339926457794;102;OD:102
103;Agromonte_C._C.;500;16.0489373912746;40.067336411914;103;OD:103
104;Albano_di_Lucania;824;16.0358513363247;40.5819656005617;104;OD:104
105;Aliano;497;16.2316980606732;40.300678227303;105;OD:105
106;Anzi;1066;15.9160287690864;40.5173368976604;106;OD:106
107;Armento;640;16.0655547872934;40.3006725171799;107;OD:107
108;Baraccone_C.C.;335;16.3313852005926;40.38401611894;108;OD:108
109;Basentello_C.C.;350;16.3147786412926;40.7673526195655;109;OD:109
110;Basento_Freatimetro;10;16.7809974729344;40.3686516742868;110;OD:110
111;Bella_S._Antonio_Casalini;744;15.6091527557396;40.7399756097334;111;OD:111
112;Bernalda;127;16.6802875504646;40.417364990259;112;OD:112
113;Bradano_Freatimetro;16;16.8217376684012;40.4228998378419;113;OD:113
114;C.le_Castrocucco;92;15.7911690449874;39.9698934420436;114;OD:114
115;Calciano;450;16.1984741718278;40.5840131859436;115;OD:115
116;Calvello;700;15.849570708456;40.4673345693666;116;OD:116
117;Calvera;605;16.1422550252276;40.1498402558008;117;OD:117
118;Cancellara;620;15.9160314423072;40.7340057189181;118;OD:118
119;Caprarico;160;16.3812264908731;40.3006839612579;119;OD:119
120;Caprarizzo;420;16.3646204672008;40.6840204576863;120;OD:120
121;Carbone;685;16.0821665110079;40.1340047612121;121;OD:121
122;Castelluccio_Inferiore;490;15.9707524160301;40.0062538635083;122;OD:122
123;Castelluccio_Superiore;700;15.9658655301646;40.0173333504827;123;OD:123
124;Castelsaraceno;950;15.9824815218724;40.1673353536668;124;OD:124
125;Castronuovo_S.Andrea;660;16.183791307885;40.1876198355655;125;OD:125
126;Cavone_a_Ponte_SS_106;17;16.7212662881032;40.2956991437998;126;OD:126
127;Cersosimo;563;16.3479931919765;40.0506801656158;127;OD:127
128;Chiaromonte;794;16.1984659844699;40.1173419032577;128;OD:128
129;Cogliandrino;700;15.9326381986532;40.1006665616705;129;OD:129
130;Cognato;557;16.1320163053657;40.5673440252521;130;OD:130
131;Colonna_C.C.;350;16.1154049125657;40.7340117705892;131;OD:131
132;Corleto_Perticara;746;16.0323276153268;40.3840056667845;132;OD:132
133;Craco;391;16.4310715375039;40.3840200929806;133;OD:133
134;Craco_Peschiera_Idrometro;6;16.5215140056761;40.3609996685999;134;OD:134
135;Episcopia;520;16.0987800489043;40.0673379982701;135;OD:135
136;Ferrandina;492;16.4518417678925;40.4979110602235;136;OD:136
137;Foce_Sinni;35;16.6415141380076;40.1645829007497;137;OD:137
138;Francavilla_in_Sinni;421;16.1984654173145;40.0840081974194;138;OD:138
139;Genzano_di_Lucania;591;16.0344202581543;40.8530053430932;139;OD:139
140;Gorgoglione;800;16.1486282138654;40.4173431234918;140;OD:140
141;Grancia;747;15.9326446585528;40.6173383044358;141;OD:141
142;Grassano;577;16.2699718293587;40.6323635166613;142;OD:142
143;Grottole;481;16.3812328283283;40.6006868861327;143;OD:143
144;Grumento_Nova;585;15.8969195432492;40.2909452332878;144;OD:144
145;Irsina;533;16.2355827272486;40.7484605691349;145;OD:145
146;Isca_di_Tramutola;597;15.799726390751;40.3339987162596;146;OD:146
147;Lagonegro;666;15.7619997490571;40.1341863272667;147;OD:147
148;Latronico;884;16.0157088827322;40.0840022069722;148;OD:148
149;Laurenzana;850;15.9758100072686;40.4552513368156;149;OD:149
150;Lauria_Inferiore;630;15.8329519563174;40.050663337035;150;OD:150
151;Malabocca_C.C.;175;16.4975273960809;40.3173556596713;151;OD:151
152;Maratea;300;15.7166521824509;39.9839932464837;152;OD:152
153;Marsico_Nuovo;850;15.7305235231782;40.423861495174;153;OD:153
154;Marsicovetere;1039;15.816341014552;40.3673327736264;154;OD:154
155;Matera;450;16.5954416604534;40.6597138000658;155;OD:155
156;Metaponto;3;16.8132006621674;40.3673712427859;156;OD:156
157;Mezzana_di_Lucania;918;16.1652352679166;39.9673392611761;157;OD:157
158;Miglionico;466;16.4975331754872;40.5673581225702;158;OD:158
159;Mileo;750;16.0323229256306;40.0506690741165;159;OD:159
160;Missanello;566;16.16524056643;40.2840090316344;160;OD:160
161;Moliterno;879;15.8661827465552;40.2339993734479;161;OD:161
162;Montalbano_Jonico;292;16.5639835872381;40.284024899897;162;OD:162
163;Monte_Serico;557;16.1486355404196;40.8506807382393;163;OD:163
164;Montemurro;710;15.9824832418191;40.3006699269885;164;OD:164
165;Montepitecchio;450;16.1652514496115;40.9173487304274;165;OD:165
166;Montescaglioso;364;16.6636772043405;40.567365753621;166;OD:166
167;Noepoli;676;16.3298788143544;40.0896520551789;167;OD:167
168;Nova_Siri;300;16.5307518083635;40.1506888404364;168;OD:168
169;Nova_Siri_Scalo;2;16.6304369853681;40.1340265269411;169;OD:169
170;Oppido_Lucano;650;15.9991043103966;40.7673418467427;170;OD:170
171;Palazzo_San_Gervasio;483;15.9824919721035;40.9340096997772;171;OD:171
172;Pietragalla;839;15.8661886205798;40.7506711654647;172;OD:172
173;Pignola;742;15.7712076580806;40.5926116503298;173;OD:173
174;Pignola_di_Lucania;924;15.7831145580051;40.5840007948881;174;OD:174
175;Pisticci;364;16.7344928970002;40.2950459357865;175;OD:175
176;Pizzutello;445;16.1022019690212;40.065687527859;176;OD:176
177;Policoro;31;16.6533702214163;40.1578978962166;177;OD:177
178;Pomarico;455;16.5473751583354;40.5173597979661;178;OD:178
179;Ponte_Colonna;215;16.1580487554604;40.7387355379622;179;OD:179
180;Potenza;811;15.8021046436074;40.6369822843864;180;OD:180
181;Potenza_Q.A.;659;15.8136122938816;40.6361099574396;181;OD:181
182;Recoleta;83;16.6470542922317;40.2506951311804;182;OD:182
183;Ripa_d_Api_Scalo;298;16.1154054903432;40.7673454520726;183;OD:183
184;Rivello;450;15.7498814608902;40.0839949712525;184;OD:184
185;Roccanova;654;16.1984676643334;40.2173428178563;185;OD:185
186;Rotonda;630;16.0323214783268;39.9506680071578;186;OD:186
187;Salandra;598;16.3147735341736;40.5173500882051;187;OD:187
188;San_Basilio;67;16.6968989903447;40.3173648790882;188;OD:188
189;San_Chirico_Raparo;750;16.0655530411883;40.1840047179215;189;OD:189
190;San_Giorgio_Lucano;416;16.3812227681235;40.1173488295784;190;OD:190
191;San_Giuliano;69;16.5310397673571;40.6026377525148;191;OD:191
192;San_Giuliano_C.C.;90;16.5473772248637;40.6006939681335;192;OD:192
193;San_Martino_d_Agri;661;16.0489398119917;40.2340046635041;193;OD:193
194;San_Mauro_Forte;565;16.2483157796539;40.4840139215077;194;OD:194
195;San_Nicola_d__Avigliano;848;15.7997303975326;40.7340026715483;195;OD:195
196;San_Salvatore;46;16.7965885223319;40.4340376730974;196;OD:196
197;San_Severino_Lucano;884;16.1320073822913;40.0173386406036;197;OD:197
198;Sant_Arcangelo;370;16.2649254194169;40.2506788814992;198;OD:198
199;Scanzano;23;16.6968971702484;40.2506975236174;199;OD:199
