codiciSensori;nomiSensori;nomeStaz;codeStaz
46440;Pioggia 1h;Cavone SS106;204000
46441;Pioggia 3h;Cavone SS106;204000
46442;Pioggia 6h;Cavone SS106;204000
46443;Pioggia 12h;Cavone SS106;204000
46444;Pioggia 24h;Cavone SS106;204000
12706;Livello Idrometrico;Craco Peschiera;176900
21845;Pioggia Cumulata;Craco Peschiera;176900
46410;Pioggia 1h;Craco Peschiera;176900
46411;Pioggia 3h;Craco Peschiera;176900
46412;Pioggia 6h;Craco Peschiera;176900
46413;Pioggia 12h;Craco Peschiera;176900
46414;Pioggia 24h;Craco Peschiera;176900
39122;Incrementi di Pioggia;Diga Rendina;528100
53600;Pioggia 1h;Diga Rendina;528100
53601;Pioggia 3h;Diga Rendina;528100
53602;Pioggia 6h;Diga Rendina;528100
53603;Pioggia 12h;Diga Rendina;528100
53604;Pioggia 24h;Diga Rendina;528100
57248;Temperatura Aria;Diga Rendina;528100
21490;Pioggia Cumulata;Episcopia-Pizzutello;275500
21491;Livello Idrometrico;Episcopia-Pizzutello;275500
21492;Temperatura Aria;Episcopia-Pizzutello;275500
46460;Pioggia 1h;Episcopia-Pizzutello;275500
46461;Pioggia 3h;Episcopia-Pizzutello;275500
46462;Pioggia 6h;Episcopia-Pizzutello;275500
46463;Pioggia 12h;Episcopia-Pizzutello;275500
46464;Pioggia 24h;Episcopia-Pizzutello;275500
52975;Livello Idrometrico;F.Melandro S.Angelo Le Fratte;698800
52976;Temperatura Aria;F.Melandro S.Angelo Le Fratte;698800
52977;Umidità relativa;F.Melandro S.Angelo Le Fratte;698800
52982;Intensità Pioggia;F.Melandro S.Angelo Le Fratte;698800
52983;Pioggia Cumulata;F.Melandro S.Angelo Le Fratte;698800
53502;Pioggia 1h;F.Melandro S.Angelo Le Fratte;698800
53503;Pioggia 3h;F.Melandro S.Angelo Le Fratte;698800
53504;Pioggia 6h;F.Melandro S.Angelo Le Fratte;698800
53505;Pioggia 12h;F.Melandro S.Angelo Le Fratte;698800
53506;Pioggia 24h;F.Melandro S.Angelo Le Fratte;698800
12712;Temperatura Aria;Ferrandina SP;177100
12713;Pioggia Cumulata;Ferrandina SP;177100
46420;Pioggia 1h;Ferrandina SP;177100
46421;Pioggia 3h;Ferrandina SP;177100
46422;Pioggia 6h;Ferrandina SP;177100
46423;Pioggia 12h;Ferrandina SP;177100
46424;Pioggia 24h;Ferrandina SP;177100
39200;Livello Idrometrico;Fiume Ofanto a Monteverde;531300
39203;Incrementi di Pioggia;Forenza;531500
39204;Temperatura Aria;Forenza;531500
52320;Pioggia 1h;Forenza;531500
52321;Pioggia 3h;Forenza;531500
52322;Pioggia 6h;Forenza;531500
52323;Pioggia 12h;Forenza;531500
52324;Pioggia 24h;Forenza;531500
39208;Incrementi di Pioggia;Ginosa;531700
39209;Temperatura Aria;Ginosa;531700
44235;Umidità Relativa;Ginosa;531700
39140;Incrementi di Pioggia;Ginosa Marina;529000
39141;Temperatura Aria;Ginosa Marina;529000
35818;Pioggia Cumulata;Gorgoglione;482200
35819;Radiazione Solare Diretta;Gorgoglione;482200
35820;Umidità Relativa;Gorgoglione;482200
35821;Temperatura Aria;Gorgoglione;482200
35822;Direzione Vento Vettoriale;Gorgoglione;482200
35823;Direzione Vento Scalare;Gorgoglione;482200
35824;Direzione Vento Raffica;Gorgoglione;482200
35825;Velocità Vento Vettoriale;Gorgoglione;482200
35826;Velocità Vento Scalare;Gorgoglione;482200
35827;Velocità Vento Raffica;Gorgoglione;482200
35828;Livello Neve;Gorgoglione;482200
36180;Pressione Atmosferica;Gorgoglione;482200
52330;Pioggia 1h;Gorgoglione;482200
52331;Pioggia 3h;Gorgoglione;482200
52332;Pioggia 6h;Gorgoglione;482200
52333;Pioggia 12h;Gorgoglione;482200
52334;Pioggia 24h;Gorgoglione;482200
16304;Pioggia Cumulata;Grassano SP;240700
16305;Temperatura Aria;Grassano SP;240700
30437;Umidità Relativa;Grassano SP;240700
46445;Pioggia 1h;Grassano SP;240700
46446;Pioggia 3h;Grassano SP;240700
46447;Pioggia 6h;Grassano SP;240700
46448;Pioggia 12h;Grassano SP;240700
46449;Pioggia 24h;Grassano SP;240700
16302;Livello Idrometrico;Grassano Scalo;240600
27500;Radiazione Solare Diretta;Grassano Scalo;240600
21091;Livello Idrometrico;Grumento-Ponte La Marmora;275400
22609;Pioggia Cumulata;Grumento-Ponte La Marmora;275400
46455;Pioggia 1h;Grumento-Ponte La Marmora;275400
46456;Pioggia 3h;Grumento-Ponte La Marmora;275400
46457;Pioggia 6h;Grumento-Ponte La Marmora;275400
46458;Pioggia 12h;Grumento-Ponte La Marmora;275400
46459;Pioggia 24h;Grumento-Ponte La Marmora;275400
53035;Intensità Pioggia;Guardia Perticara;699200
53036;Pioggia Cumulata;Guardia Perticara;699200
53037;Temperatura Aria;Guardia Perticara;699200
53038;Umidità relativa;Guardia Perticara;699200
53512;Pioggia 1h;Guardia Perticara;699200
53513;Pioggia 3h;Guardia Perticara;699200
53514;Pioggia 6h;Guardia Perticara;699200
53515;Pioggia 12h;Guardia Perticara;699200
53516;Pioggia 24h;Guardia Perticara;699200
12694;Temperatura Aria;Irsina;55200
12695;Pioggia Cumulata;Irsina;55200
15529;Pioggia 1h;Irsina;55200
15530;Pioggia 3h;Irsina;55200
15531;Pioggia 6h;Irsina;55200
15532;Pioggia 12h;Irsina;55200
15533;Pioggia 24h;Irsina;55200
12690;Temperatura Aria;Lagonegro;55100
12691;Pioggia Cumulata;Lagonegro;55100
12692;Livello Neve;Lagonegro;55100
15549;Pioggia 1h;Lagonegro;55100
15550;Pioggia 3h;Lagonegro;55100
15551;Pioggia 6h;Lagonegro;55100
15552;Pioggia 12h;Lagonegro;55100
15553;Pioggia 24h;Lagonegro;55100
39210;Incrementi di Pioggia;Lagopesole;531800
39211;Temperatura Aria;Lagopesole;531800
39212;Umidità Relativa;Lagopesole;531800
52608;Pioggia 1h;Lagopesole;531800
52609;Pioggia 3h;Lagopesole;531800
52610;Pioggia 6h;Lagopesole;531800
52611;Pioggia 12h;Lagopesole;531800
52612;Pioggia 24h;Lagopesole;531800
21501;Pioggia Cumulata;Laino Borgo;276400
21502;Livello Idrometrico;Laino Borgo;276400
34266;Pioggia 1h;Laino Borgo;276400
34267;Pioggia 3h;Laino Borgo;276400
34268;Pioggia 6h;Laino Borgo;276400
34269;Pioggia 12h;Laino Borgo;276400
34270;Pioggia 24h;Laino Borgo;276400
34271;Pioggia 20 minuti;Laino Borgo;276400
34272;Pioggia 40 minuti;Laino Borgo;276400
21719;Pioggia Cumulata;Laurenzana;279200
46485;Pioggia 1h;Laurenzana;279200
46486;Pioggia 3h;Laurenzana;279200
46487;Pioggia 6h;Laurenzana;279200
46488;Pioggia 12h;Laurenzana;279200
46489;Pioggia 24h;Laurenzana;279200
30650;Pioggia Cumulata;Lavello;418100
30653;Direzione Vento Verticale;Lavello;418100
30654;Velocita' Vento Ultrasonica;Lavello;418100
30655;Direzione Vento Ultrasonico;Lavello;418100
46515;Pioggia 1h;Lavello;418100
46516;Pioggia 3h;Lavello;418100
46517;Pioggia 6h;Lavello;418100
46518;Pioggia 12h;Lavello;418100
46519;Pioggia 24h;Lavello;418100
62690;Direzione Vento Scalare;Lavello;418100
