codiciSensori;nomiSensori;nomeStaz;codeStaz
17319;Temperatura Aria;Terra Montonata;233200
17320;Umidità Relativa;Terra Montonata;233200
17321;Direzione Vento Vettoriale;Terra Montonata;233200
17322;Velocità Vento Vettoriale;Terra Montonata;233200
17323;Pressione Atmosferica;Terra Montonata;233200
17324;Evaporazione;Terra Montonata;233200
17325;Igrometro Suolo -30;Terra Montonata;233200
17326;Igrometro Suolo -60;Terra Montonata;233200
17327;Igrometro Suolo -90;Terra Montonata;233200
17328;Tensiometro -30;Terra Montonata;233200
17329;Tensiometro -60;Terra Montonata;233200
17330;Tensiometro -90;Terra Montonata;233200
26907;Velocità Vento Scalare;Terra Montonata;233200
26909;Direzione Vento Scalare;Terra Montonata;233200
26910;Velocità Vento Raffica;Terra Montonata;233200
26911;Direzione Vento Raffica;Terra Montonata;233200
46450;Pioggia 1h;Terra Montonata;233200
46451;Pioggia 3h;Terra Montonata;233200
46452;Pioggia 6h;Terra Montonata;233200
46453;Pioggia 12h;Terra Montonata;233200
46454;Pioggia 24h;Terra Montonata;233200
57569;Igro suolo -30 Minerale;Terra Montonata;233200
57570;Igro suolo -60 Minerale;Terra Montonata;233200
57571;Igro suolo -90 Minerale;Terra Montonata;233200
57572;Igro suolo -30 Organico;Terra Montonata;233200
57573;Igro suolo -60 Organico;Terra Montonata;233200
57574;Igro suolo -90 Organico;Terra Montonata;233200
21477;Pioggia Cumulata;Terranova di Pollino;276500
46470;Pioggia 1h;Terranova di Pollino;276500
46471;Pioggia 3h;Terranova di Pollino;276500
46472;Pioggia 6h;Terranova di Pollino;276500
46473;Pioggia 12h;Terranova di Pollino;276500
46474;Pioggia 24h;Terranova di Pollino;276500
53030;Livello Neve;Terranova di Pollino;276500
53333;Temperatura Aria;Terranova di Pollino;276500
30352;Pioggia Cumulata;Tito;420000
30354;Temperatura Aria;Tito;420000
30355;Umidità Relativa;Tito;420000
46545;Pioggia 1h;Tito;420000
46546;Pioggia 3h;Tito;420000
46547;Pioggia 6h;Tito;420000
46548;Pioggia 12h;Tito;420000
46549;Pioggia 24h;Tito;420000
12708;Temperatura Aria;Torre Accio;177000
12709;Pioggia Cumulata;Torre Accio;177000
12710;Livello Idrometrico;Torre Accio;177000
46415;Pioggia 1h;Torre Accio;177000
46416;Pioggia 3h;Torre Accio;177000
46417;Pioggia 6h;Torre Accio;177000
46418;Pioggia 12h;Torre Accio;177000
46419;Pioggia 24h;Torre Accio;177000
39273;Livello Idrometrico;Torrente Atella;534500
39346;Livello Idrometrico;Torrente Venosa;539600
21830;Livello Idrometrico;Tortora;298400
22330;Pioggia Cumulata;Tortora;298400
27100;Radiazione UV-E;Tortora;298400
34566;Pioggia 20 minuti;Tortora;298400
34569;Pioggia 40 minuti;Tortora;298400
34571;Pioggia 1h;Tortora;298400
34573;Pioggia 3h;Tortora;298400
34575;Pioggia 6h;Tortora;298400
34577;Pioggia 12h;Tortora;298400
34579;Pioggia 24h;Tortora;298400
12678;Pioggia Cumulata;Tramutola;54700
12679;Temperatura Aria;Tramutola;54700
15783;Pioggia 1h;Tramutola;54700
15784;Pioggia 3h;Tramutola;54700
15785;Pioggia 6h;Tramutola;54700
15786;Pioggia 12h;Tramutola;54700
15787;Pioggia 24h;Tramutola;54700
52988;Intensità Pioggia;Tricarico;698900
52989;Pioggia Cumulata;Tricarico;698900
52990;Temperatura Aria;Tricarico;698900
52991;Umidità relativa;Tricarico;698900
53507;Pioggia 1h;Tricarico;698900
53508;Pioggia 3h;Tricarico;698900
53509;Pioggia 6h;Tricarico;698900
53510;Pioggia 12h;Tricarico;698900
53511;Pioggia 24h;Tricarico;698900
21474;Pioggia Cumulata;Tursi;276900
46475;Pioggia 1h;Tursi;276900
46476;Pioggia 3h;Tursi;276900
46477;Pioggia 6h;Tursi;276900
46478;Pioggia 12h;Tursi;276900
46479;Pioggia 24h;Tursi;276900
53013;Intensità Pioggia;Vaglio di Basilicata;699300
53014;Pioggia Cumulata;Vaglio di Basilicata;699300
53015;Temperatura Aria;Vaglio di Basilicata;699300
53016;Umidità relativa;Vaglio di Basilicata;699300
53487;Pioggia 1h;Vaglio di Basilicata;699300
53488;Pioggia 3h;Vaglio di Basilicata;699300
53489;Pioggia 6h;Vaglio di Basilicata;699300
53490;Pioggia 12h;Vaglio di Basilicata;699300
53491;Pioggia 24h;Vaglio di Basilicata;699300
59613;Direzione Vento Scalare;Vaglio di Basilicata;699300
59614;Direzione Vento Vettoriale;Vaglio di Basilicata;699300
59615;Direzione Vento Raffica;Vaglio di Basilicata;699300
59616;Velocità Vento Scalare;Vaglio di Basilicata;699300
59617;Velocità Vento Vettoriale;Vaglio di Basilicata;699300
59618;Velocità Vento Raffica;Vaglio di Basilicata;699300
30356;Pioggia Cumulata;Venosa;418200
30358;Temperatura Aria;Venosa;418200
30359;Umidità Relativa;Venosa;418200
46520;Pioggia 1h;Venosa;418200
46521;Pioggia 3h;Venosa;418200
46522;Pioggia 6h;Venosa;418200
46523;Pioggia 12h;Venosa;418200
46524;Pioggia 24h;Venosa;418200
12307;Pioggia Cumulata;"Vietri SP529400;""Venosa ETG";182800
51048;Pioggia 1h;"Vietri SP529400;""Venosa ETG";182800
51049;Pioggia 3h;"Vietri SP529400;""Venosa ETG";182800
51050;Pioggia 6h;"Vietri SP529400;""Venosa ETG";182800
51051;Pioggia 12h;"Vietri SP529400;""Venosa ETG";182800
51052;Pioggia 24h;"Vietri SP529400;""Venosa ETG";182800
